Date,Open,High,Low,Close,Adj Close,Volume
2020-12-16,0.822790,0.823250,0.818800,0.822754,0.822754,0
2020-12-17,0.819870,0.820180,0.815461,0.819700,0.819700,0
2020-12-18,0.815530,0.817850,0.815100,0.815480,0.815480,0
2020-12-21,0.818960,0.824350,0.817350,0.818590,0.818590,0
2020-12-22,0.817100,0.821960,0.815727,0.817200,0.817200,0
2020-12-23,0.820620,0.822520,0.818370,0.820570,0.820570,0
2020-12-24,0.820080,0.821060,0.818500,0.820250,0.820250,0
2020-12-25,0.820700,0.821895,0.818800,0.820700,0.820700,0
2020-12-28,0.819200,0.820780,0.816193,0.819330,0.819330,0
2020-12-29,0.818330,0.818330,0.814598,0.818100,0.818100,0
2020-12-30,0.816110,0.816190,0.812430,0.816130,0.816130,0
2020-12-31,0.813070,0.818130,0.812380,0.813015,0.813015,0
2021-01-01,0.821500,0.824063,0.818532,0.821000,0.821000,0
2021-01-04,0.816390,0.821600,0.812348,0.816280,0.816280,0
2021-01-05,0.816130,0.816330,0.813350,0.816220,0.816220,0
2021-01-06,0.813100,0.815200,0.809700,0.812990,0.812990,0
2021-01-07,0.810520,0.816550,0.810000,0.810300,0.810300,0
2021-01-08,0.815080,0.818670,0.814190,0.814900,0.814900,0
2021-01-11,0.820490,0.824080,0.819700,0.820600,0.820600,0
2021-01-12,0.822260,0.823800,0.821120,0.822321,0.822321,0
2021-01-13,0.819050,0.822680,0.818000,0.819075,0.819075,0
2021-01-14,0.822250,0.825550,0.821500,0.822200,0.822200,0
2021-01-15,0.822842,0.827490,0.822200,0.822960,0.822960,0
2021-01-18,0.828690,0.829500,0.827390,0.828630,0.828630,0
2021-01-19,0.827920,0.827920,0.823390,0.828000,0.828000,0
2021-01-20,0.823760,0.827970,0.822368,0.823800,0.823800,0
2021-01-21,0.825400,0.825770,0.821560,0.825380,0.825380,0
2021-01-22,0.821950,0.822910,0.820479,0.821943,0.821943,0
2021-01-25,0.821790,0.825270,0.820614,0.821730,0.821730,0
2021-01-26,0.823500,0.825870,0.821355,0.823300,0.823300,0
2021-01-27,0.822150,0.829050,0.821600,0.822166,0.822166,0
2021-01-28,0.826120,0.827650,0.823452,0.826100,0.826100,0
2021-01-29,0.824990,0.826720,0.822571,0.825080,0.825080,0
2021-02-01,0.824890,0.828560,0.823990,0.824820,0.824820,0
2021-02-02,0.828660,0.832060,0.827270,0.828590,0.828590,0
2021-02-03,0.830630,0.832990,0.829876,0.830630,0.830630,0
2021-02-04,0.830440,0.835620,0.830300,0.830400,0.830400,0
2021-02-05,0.835600,0.836570,0.830580,0.835650,0.835650,0
2021-02-08,0.829920,0.831850,0.828600,0.829960,0.829960,0
2021-02-09,0.829700,0.829862,0.825440,0.829628,0.829628,0
2021-02-10,0.825290,0.825750,0.823470,0.825083,0.825083,0
2021-02-11,0.825120,0.825470,0.822978,0.825000,0.825000,0
2021-02-12,0.824400,0.827541,0.824000,0.824300,0.824300,0
2021-02-15,0.825010,0.825260,0.823249,0.824940,0.824940,0
2021-02-16,0.824240,0.826730,0.821625,0.824253,0.824253,0
2021-02-17,0.827230,0.831560,0.826560,0.826960,0.826960,0
2021-02-18,0.830160,0.830820,0.827198,0.830013,0.830013,0
2021-02-19,0.827010,0.827609,0.823200,0.827000,0.827000,0
2021-02-22,0.824780,0.826980,0.822700,0.824650,0.824650,0
2021-02-23,0.821900,0.823940,0.821100,0.821909,0.821909,0
2021-02-24,0.822910,0.825675,0.821420,0.822900,0.822900,0
2021-02-25,0.821726,0.822600,0.816890,0.821600,0.821600,0
